link_id,from_node_id,to_node_id,direction,observed_count,estimated_count,residual,two_way
64,83,169,forward,5289.0,5096.82,192.18,0
65,84,201,forward,217.5,0.0,217.5,1
65,201,84,reverse,217.5,0.0,217.5,1
66,85,191,forward,143.5,0.0,143.5,1
66,191,85,reverse,143.5,0.0,143.5,1
67,86,37,forward,11603.0,9107.4,2495.6,0
71,90,91,forward,5098.0,5631.0,-533.0,1
71,91,90,reverse,5098.0,5631.0,-533.0,1
73,92,212,forward,532.5,0.0,532.5,1
73,212,92,reverse,532.5,0.0,532.5,1
75,94,323,forward,154.5,0.0,154.5,1
75,323,94,reverse,154.5,0.0,154.5,1
77,96,312,forward,1115.0,1596.85,-481.85,1
77,312,96,reverse,1115.0,1596.85,-481.85,1
79,98,325,forward,7849.0,7431.07,417.93,0
81,101,174,forward,64.5,0.0,64.5,1
81,174,101,reverse,64.5,0.0,64.5,1
83,103,20,forward,9127.0,5096.82,4030.18,0
84,104,19,forward,1444.0,1657.61,-213.61,1
84,19,104,reverse,1444.0,1657.61,-213.61,1
90,111,16,forward,10884.0,11305.87,-421.87,0
92,113,162,forward,2628.5,2979.11,-350.61,1
92,162,113,reverse,2628.5,2979.11,-350.61,1
94,114,12,forward,624.5,636.89,-12.39,1
94,12,114,reverse,624.5,636.89,-12.39,1
97,117,22,forward,240.0,175.1,64.9,1
97,22,117,reverse,240.0,175.1,64.9,1
98,119,222,forward,90.5,0.0,90.5,1
98,222,119,reverse,90.5,0.0,90.5,1
99,120,223,forward,43.0,0.0,43.0,1
99,223,120,reverse,43.0,0.0,43.0,1
100,121,225,forward,82.0,0.0,82.0,1
100,225,121,reverse,82.0,0.0,82.0,1
103,124,228,forward,192.0,0.0,192.0,1
103,228,124,reverse,192.0,0.0,192.0,1
104,125,124,forward,86.5,0.0,86.5,1
104,124,125,reverse,86.5,0.0,86.5,1
112,131,109,forward,1830.5,1825.94,4.56,1
112,109,131,reverse,1830.5,1825.94,4.56,1
122,139,14,forward,2218.0,2209.3,8.7,1
122,14,139,reverse,2218.0,2209.3,8.7,1
130,144,108,forward,811.5,787.64,23.86,1
130,108,144,reverse,811.5,787.64,23.86,1
133,145,106,forward,118.5,0.0,118.5,1
133,106,145,reverse,118.5,0.0,118.5,1
134,145,105,forward,432.5,670.98,-238.48,1
134,105,145,reverse,432.5,670.98,-238.48,1
135,146,18,forward,365.5,586.18,-220.68,1
135,18,146,reverse,365.5,586.18,-220.68,1
144,152,9,forward,10250.0,9774.49,475.51,0
145,153,107,forward,659.0,670.98,-11.98,1
145,107,153,reverse,659.0,670.98,-11.98,1
146,153,10,forward,89.0,116.66,-27.66,1
146,10,153,reverse,89.0,116.66,-27.66,1
153,158,115,forward,2501.0,2501.18,-0.18,1
153,115,158,reverse,2501.0,2501.18,-0.18,1
162,164,130,forward,13415.0,12694.68,720.32,0
163,165,79,forward,5770.0,3792.02,1977.98,0
174,172,199,forward,1009.0,5096.82,-4087.82,0
183,180,112,forward,357.5,0.0,357.5,1
183,112,180,reverse,357.5,0.0,357.5,1
184,180,15,forward,4501.5,4496.34,5.16,1
184,15,180,reverse,4501.5,4496.34,5.16,1
205,196,126,forward,183.5,585.99,-402.49,1
205,126,196,reverse,183.5,585.99,-402.49,1
206,196,95,forward,1114.5,585.99,528.51,1
206,95,196,reverse,1114.5,585.99,528.51,1
212,200,82,forward,127.5,0.0,127.5,1
212,82,200,reverse,127.5,0.0,127.5,1
223,208,90,forward,4411.5,5631.0,-1219.5,1
223,90,208,reverse,4411.5,5631.0,-1219.5,1
225,209,99,forward,7932.0,4880.18,3051.82,0
235,214,93,forward,1377.0,2914.77,-1537.77,1
235,93,214,reverse,1377.0,2914.77,-1537.77,1
238,216,97,forward,196.0,0.0,196.0,1
238,97,216,reverse,196.0,0.0,196.0,1
247,222,118,forward,69.0,0.0,69.0,1
247,118,222,reverse,69.0,0.0,69.0,1
253,226,123,forward,912.5,953.82,-41.32,1
253,123,226,reverse,912.5,953.82,-41.32,1
256,229,117,forward,108.5,175.1,-66.6,1
256,117,229,reverse,108.5,175.1,-66.6,1
260,231,122,forward,85.5,0.0,85.5,1
260,122,231,reverse,85.5,0.0,85.5,1
274,242,58,forward,84.5,0.0,84.5,1
274,58,242,reverse,84.5,0.0,84.5,1
287,251,54,forward,9868.0,10373.34,-505.34,0
290,253,33,forward,605.5,622.75,-17.25,1
290,33,253,reverse,605.5,622.75,-17.25,1
292,254,66,forward,61.0,0.0,61.0,1
292,66,254,reverse,61.0,0.0,61.0,1
298,257,47,forward,957.5,1491.32,-533.82,1
298,47,257,reverse,957.5,1491.32,-533.82,1
299,257,56,forward,25.5,0.0,25.5,1
299,56,257,reverse,25.5,0.0,25.5,1
300,258,44,forward,14484.0,14906.51,-422.51,0
301,259,3,forward,1803.0,2116.42,-313.42,1
301,3,259,reverse,1803.0,2116.42,-313.42,1
305,262,40,forward,517.0,622.75,-105.75,1
305,40,262,reverse,517.0,622.75,-105.75,1
307,263,57,forward,1264.0,2114.06,-850.06,1
307,57,263,reverse,1264.0,2114.06,-850.06,1
308,264,43,forward,2134.0,2546.86,-412.86,0
316,269,49,forward,54.0,0.0,54.0,1
316,49,269,reverse,54.0,0.0,54.0,1
319,270,41,forward,1653.0,1875.08,-222.08,1
319,41,270,reverse,1653.0,1875.08,-222.08,1
329,280,4,forward,6602.0,8514.87,-1912.87,0
330,281,60,forward,7566.0,6408.26,1157.74,0
339,288,1,forward,13944.0,14819.13,-875.13,0
358,302,64,forward,250.5,0.0,250.5,1
358,64,302,reverse,250.5,0.0,250.5,1
359,302,62,forward,39.5,0.0,39.5,1
359,62,302,reverse,39.5,0.0,39.5,1
367,307,81,forward,11273.0,10373.34,899.66,0
369,308,68,forward,44.0,0.0,44.0,1
369,68,308,reverse,44.0,0.0,44.0,1
371,310,178,forward,1008.0,2571.78,-1563.78,0
372,310,78,forward,674.5,1220.24,-545.74,1
372,78,310,reverse,674.5,1220.24,-545.74,1
380,319,89,forward,3932.0,3931.94,0.06,1
380,89,319,reverse,3932.0,3931.94,0.06,1
383,321,102,forward,8340.0,8686.33,-346.33,0
392,328,100,forward,343.0,3765.48,-3422.48,0
397,340,246,forward,10036.0,0.0,10036.0,0
399,7,72,forward,11501.0,10373.34,1127.66,0
